USDOT,MC_docket#,entity_type,operating_status,out_of_service,legal_name,dba_name,contact_name,physical_address,physical_city,physical_state,physical_zip,business_phone,mobile_number,email_address,mailing_address,mailing_city,mailing_state,mailing_zip,power units,drivers,mcs 150,Mileage (Year),operation_classification,carrier_operation,cargo_carried
3364412,,CARRIER,ACTIVE,None,TMTM CONTRACTING LLC,,,808 KAVKAZ ST,RALEIGH,NC,27610-3178,(919) 610-0067,,,808 KAVKAZ ST,RALEIGH,NC,27610-3178,3,8,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3365010,,CARRIER,NOT AUTHORIZED,None,JOLLEY TRUCKING LLC,,,11056 E QUARTET AVE,MESA,AZ,85212,(480) 518-0155,,,11056 E QUARTET AVE,MESA,AZ,85212-2584,2,4,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Metal: sheets, coils, rolls, Logs, Poles, Beams, Lumber, Building Materials, Commodities Dry Bulk, Refrigerated Food, Paper Products, "
3365166,,CARRIER,ACTIVE,None,STAR TRANSPORT LLC,,,4112 N 69TH LN UNIT 1410,PHOENIX,AZ,85033-8225,(623) 521-3007,,,4112 N 69TH LN UNIT 1410,PHOENIX,AZ,85033-8225,1,1,2019-12-05,"10,000 (2018)","Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3365236,,CARRIER,NOT AUTHORIZED,None,GALINDO TRANSPORT LLC,,,757 W CALLE MAROJO,SAHUARITA,AZ,85629,(520) 481-7309,,,757 W CALLE MAROJO,SAHUARITA,AZ,85629-7837,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Beverages, Paper Products, "
3365244,,CARRIER,NOT AUTHORIZED,None,LEMONS VALLEY TRANSPORTATION LLC,,,3121 W DONNER DR,PHOENIX,AZ,85041,(480) 363-1047,,,3121 W DONNER DR,PHOENIX,AZ,85041-6348,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Refrigerated Food, "
3365485,,CARRIER,NOT AUTHORIZED,None,BERNARDO LOPEZ,,,1330 W BROADWAY RD APT F108,TEMPE,AZ,85282,(909) 734-4266,,,1330 W BROADWAY RD APT F108,TEMPE,AZ,85282-1244,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, "
3365781,,CARRIER,NOT AUTHORIZED,None,COMMERCIAL CHOPER LLC,,,8044 E JACQUE DR,PRESCOTT VLY,AZ,86314,(928) 460-0571,,,8044 E JACQUE DR,PRESCOTT VLY,AZ,86314-6130,1,1,2019-12-05,,"Auth. For Hire, ","Interstate, ","Passengers, "
3365917,,CARRIER,NOT AUTHORIZED,None,RAT-CHET DOWN LLC,RAT-CHET DOWN,,22507 W LOWER BUCKEYE RD,BUCKEYE,AZ,85326,(602) 663-7745,,,22507 W LOWER BUCKEYE RD,BUCKEYE,AZ,85326-5516,1,2,2019-12-05,,"Auth. For Hire, ","Interstate, ","General Freight, Motor Vehicles, "
3365920,,CARRIER,NOT AUTHORIZED,None,CHAY AUTO TRANSPORT LLC,,,15777 W YAVAPAI ST,GOODYEAR,AZ,85338,(623) 340-4621,,,15777 W YAVAPAI ST,GOODYEAR,AZ,85338-3344,1,1,2019-12-05,,"Auth. For Hire, ","Interstate, ","Motor Vehicles, "
3365932,,CARRIER,ACTIVE,None,UC OFFICE INSTALLATIONS LLC,,,3026 N 56TH DR,PHOENIX,AZ,85031-3311,(602) 803-2141,,,3026 N 56TH DR,PHOENIX,AZ,85031-3311,1,1,2019-12-05,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Household Goods, "
3366180,,CARRIER,ACTIVE,None,KID COMMUTE LLC,KID COMMUTE,,2571 S MOCCASIN TRL,GILBERT,AZ,85295-1573,(480) 772-6764,,,2571 S MOCCASIN TRL,GILBERT,AZ,85295-1573,10,10,2019-12-06,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Passengers, "
3366234,,CARRIER,NOT AUTHORIZED,None,MODEE'S TRANSPORTATION LLC,,,6316 W IRONWOOD DR,GLENDALE,AZ,85302,(602) 517-7422,,,6316 W IRONWOOD DR,GLENDALE,AZ,85302-1142,1,1,2019-12-06,,"Auth. For Hire, ","Interstate, ","General Freight, "
3366831,,CARRIER,NOT AUTHORIZED,None,LEONARDO BALTAZAR,LEO AUTO TRANSPORT,,5040 S CENTRAL AVE STE 4,PHOENIX,AZ,85040,(619) 871-7271,,,5040 S CENTRAL AVE STE 4,PHOENIX,AZ,85040-2155,1,1,2019-12-09,,"Auth. For Hire, ","Interstate, ","Motor Vehicles, "
