USDOT,MC_docket#,entity_type,operating_status,out_of_service,legal_name,dba_name,contact_name,physical_address,physical_city,physical_state,physical_zip,business_phone,mobile_number,email_address,mailing_address,mailing_city,mailing_state,mailing_zip,power units,drivers,mcs 150,Mileage (Year),operation_classification,carrier_operation,cargo_carried
3370436,,CARRIER,NOT AUTHORIZED,None,MONDELL SINGLETON,SECOND LOOK TRANSPORT,,500 BOSTON ST,HEMET,CA,92545,(951) 692-1518,,,500 BOSTON ST,HEMET,CA,92545-2385,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Fresh Produce, Refrigerated Food, Beverages, Paper Products, "
3371964,,CARRIER,NOT AUTHORIZED,None,TARLOCHAN SINGH JOHAL,TSJ TRUCKING,,12518 A STREET,BIOLA,CA,93606,(559) 960-2833,,,"PO BOX 459
BIOLA, CA   93606-0459",,,,1,1,2019-12-27,100 (2018),"Auth. For Hire, ","Interstate, ","General Freight, "
3372191,,CARRIER,NOT AUTHORIZED,None,CARMEL LOGISTICS LLC,,,9574 N SHANNON AVE,FRESNO,CA,93720,(559) 554-1635,,,9574 N SHANNON AVE,FRESNO,CA,93720,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3372851,,CARRIER,NOT AUTHORIZED,None,ON MY GRIND EXPRESS LLC,,,248 3RD ST STE 806,OAKLAND,CA,94607,(405) 792-6946,,,248 3RD ST STE 806,OAKLAND,CA,94607-4375,1,1,2019-12-27,,"Auth. For Hire, ","Interstate, ","General Freight, "
3373176,,CARRIER,ACTIVE,None,ANTHONY WRIGHT,HELPING HANDS TOWING,,2376 DRY CREEK WAY,STOCKTON,CA,95206,(209) 740-6531,,,2376 DRY CREEK WAY,STOCKTON,CA,95206,1,1,2019-12-26,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","Drive/Tow away, "
3373857,,CARRIER,NOT AUTHORIZED,None,MARATHON LOGISTICS LLC,,,505 14TH ST STE 900,OAKLAND,CA,94612,(510) 588-8480,,,505 14TH ST STE 900,OAKLAND,CA,94612-1468,1,2,2019-12-25,,"Auth. For Hire, ","Interstate, ","General Freight, Building Materials, "
3373876,,CARRIER,ACTIVE,None,WINLINE LOGISTICS,,,26033 CAPE DR UNIT 391,LAGUNA NIGUEL,CA,92677-0931,(323) 571-7117,,,26033 CAPE DR UNIT 391,LAGUNA NIGUEL,CA,92677-0931,1,2,2019-12-25,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3373887,,CARRIER,NOT AUTHORIZED,None,NORTH WIND TRANS INC,,,9349 LA TONIS WAY,ELK GROVE,CA,95758,(916) 539-4141,,,9349 LA TONIS WAY,ELK GROVE,CA,95758-7124,1,4,2019-12-25,,"Auth. For Hire, ","Interstate, ","General Freight, Household Goods, Metal: sheets, coils, rolls, Motor Vehicles, Drive/Tow away, Building Materials, Fresh Produce, Grain, Feed, Hay, Meat, Garbage/Refuse, US Mail, Commodities Dry Bulk, Refrigerated Food, Beverages, Paper Products, Utilities, Agricultural/Farm Supplies, Construction, "
3373896,,CARRIER,NOT AUTHORIZED,None,ANL TRUCKING,,,16018 ADELANTE ST STE D,IRWINDALE,CA,91702,(626) 225-8083,,,16018 ADELANTE ST STE D,IRWINDALE,CA,91702-3236,1,2,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, "
3373903,,CARRIER,ACTIVE,None,S MAHAL TRUCKING INC,,,27499 PONDEROSA CT,HAYWARD,CA,94545-4128,(510) 284-9135,,,32108 ALVARADO BLVD # 343,UNION CITY,CA,94587-4000,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
3374006,,CARRIER,NOT AUTHORIZED,None,ROCK CARRIERS INC,,,4111 N BLYTHE AVE APT 135,FRESNO,CA,93722,(629) 255-5537,,,4111 N BLYTHE AVE APT 135,FRESNO,CA,93722-6361,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, Fresh Produce, Meat, Refrigerated Food, Paper Products, "
3374039,,CARRIER,NOT AUTHORIZED,None,JP CHARLES FREIGHT,,,229 N 5TH ST,LA PUENTE,CA,91744,(626) 779-6567,,,229 N 5TH ST,LA PUENTE,CA,91744-6505,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, "
3374043,,CARRIER,NOT AUTHORIZED,None,VIRK CARGO INC,,,9378 WILLOW POND CIR,ELK GROVE,CA,95624,(916) 525-5739,,,9378 WILLOW POND CIR,ELK GROVE,CA,95624-1266,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, "
3374061,,CARRIER,ACTIVE,None,G PEREZ TRUCKING LLC,,,1160 MINTER AVE,SHAFTER,CA,93263-2444,(661) 979-0418,,,1160 MINTER AVE,SHAFTER,CA,93263-2444,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374079,,CARRIER,ACTIVE,None,RLM TRANSPORTATION INC,,,9148 EUCALYPTUS DR,BAKERSFIELD,CA,93306-6730,(661) 487-6314,,,9148 EUCALYPTUS DR,BAKERSFIELD,CA,93306-6730,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Construction, OTHER, "
3374086,,CARRIER,NOT AUTHORIZED,None,FATEH'S TRANSPORT INC,,,812 N GRANDVIEW AVE APT C,COVINA,CA,91723,(626) 541-3878,,,812 N GRANDVIEW AVE APT C,COVINA,CA,91723-1353,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, Fresh Produce, "
3374088,,CARRIER,NOT AUTHORIZED,None,ROBERT GALLEGOS,BOBBY'S TRANSPORT,,16156 SHADYBEND DR,HACIENDA HTS,CA,91745,(626) 343-1576,,,16156 SHADYBEND DR,HACIENDA HTS,CA,91745-2317,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, "
3374096,,CARRIER,ACTIVE,None,PEREZ TRANS LLC,,,551 DRAKE DR,SHAFTER,CA,93263-9638,(661) 978-1588,,,551 DRAKE DR,SHAFTER,CA,93263-9638,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374140,,CARRIER,NOT AUTHORIZED,None,2 GLORY INC,,,4603 STILL MEADOW LN,LANCASTER,CA,93536,(661) 943-6611,,,4603 STILL MEADOW LN,LANCASTER,CA,93536-7162,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","Motor Vehicles, "
3374143,,CARRIER,ACTIVE,None,GUILLORY TRUCKING,,,7426 CHERRY AVE STE 210,FONTANA,CA,92336-4263,(909) 452-8890,,,7426 CHERRY AVE STE 210,FONTANA,CA,92336-4263,3,3,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Agricultural/Farm Supplies, Construction, "
3374144,,CARRIER,ACTIVE,None,RICARDO ACOSTA,ACOSTA LOGISTICS LLC,,"11365 MILLSTONE LN 11365 MILLSTONE LN
POMONA, CA   91766-4688",,,,(909) 973-0724,,,"11365 MILLSTONE LN 11365 MILLSTONE LN
POMONA, CA   91766-4688",,,,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Intermodal Cont., "
3374153,,CARRIER,NOT AUTHORIZED,None,HAWK47 TRUCKING INC,HAWK47,,10824 OLSON DR STE C,RNCHO CORDOVA,CA,95670,(916) 254-6581,,,10824 OLSON DR STE C,RNCHO CORDOVA,CA,95670-5651,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, "
3374171,,CARRIER,NOT AUTHORIZED,None,MARIO BUGARIN MARTINEZ,BUGARIN TRUCKING,,254 E 2ND ST,CALEXICO,CA,92231,(760) 234-0766,,,254 E 2ND ST,CALEXICO,CA,92231-2754,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, Building Materials, Grain, Feed, Hay, Paper Products, "
3374176,,CARRIER,ACTIVE,None,KNUCKLE HEAD TRUCKING INC,,,10824 WINDY CT,BLOOMINGTON,CA,92316-2821,(909) 578-2889,,,10824 WINDY CT,BLOOMINGTON,CA,92316-2821,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374179,,CARRIER,ACTIVE,None,3M TRANSPORT LLC,,,1355 TERMINO AVE,LONG BEACH,CA,90804-3014,(562) 200-3932,,,1355 TERMINO AVE,LONG BEACH,CA,90804-3014,1,2,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374193,,CARRIER,ACTIVE,None,SOLO TRANS LLC,,,4330 E 52ND ST,MAYWOOD,CA,90270-2306,(323) 597-8698,,,4330 E 52ND ST,MAYWOOD,CA,90270-2306,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Intermodal Cont., "
3374199,,CARRIER,ACTIVE,None,GOMEZ TRUCKING,,,1270 ELIZABETH ST,COALINGA,CA,93210-3205,(559) 772-2111,,,1270 ELIZABETH ST,COALINGA,CA,93210-3205,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3374200,,CARRIER,ACTIVE,None,JESUS FRANCISCO LOPEZ,JESUS FRANCISCO LOPEZ TRUCKING LLC,,"5867 ELMWOOD RD 5867 ELMWOOD RD
SN BERNRDNO, CA   92404-3201",,,,(909) 685-7893,,,"5867 ELMWOOD RD 5867 ELMWOOD RD
SN BERNRDNO, CA   92404-3201",,,,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Intermodal Cont., "
3374204,,CARRIER,ACTIVE,None,RELIANCE LOGISTICS INC,,,128 GERBERA ST,DANVILLE,CA,94506-4790,(510) 304-7833,,,128 GERBERA ST,DANVILLE,CA,94506-4790,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374224,,CARRIER,NOT AUTHORIZED,None,DSS TRANS INC,,,22110 S MANTECA RD,MANTECA,CA,95337,(209) 969-5899,,,22110 S MANTECA RD,MANTECA,CA,95337-8980,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, "
3374231,,CARRIER,NOT AUTHORIZED,None,GURINDER SINGH,JHUTTY TRUCKING,,1896 CLARENDON DR,FAIRFIELD,CA,94534,(707) 384-2082,,,1896 CLARENDON DR,FAIRFIELD,CA,94534-6419,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","Intermodal Cont., "
3374235,,CARRIER,ACTIVE,None,AC TRANSPORT LLC,,,3344 S CANFIELD AVE APT 110,LOS ANGELES,CA,90034-2976,(323) 537-6822,,,3344 S CANFIELD AVE APT 110,LOS ANGELES,CA,90034-2976,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374240,,CARRIER,ACTIVE,None,AK TRUCKING,,,10975 S VERMONT AVE,LOS ANGELES,CA,90044-3041,(424) 219-3932,,,10975 S VERMONT AVE,LOS ANGELES,CA,90044-3041,1,2,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374257,,CARRIER,NOT AUTHORIZED,None,JD EXPRESS LLC,,,1303 NORTHVIEW ST,SELMA,CA,93662,(559) 486-5016,,,1303 NORTHVIEW ST,SELMA,CA,93662-4821,2,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, Fresh Produce, Commodities Dry Bulk, Refrigerated Food, "
3374259,,CARRIER,ACTIVE,None,GERARDO ANGULO,,,16397 WINDCREST DR,FONTANA,CA,92337-0840,(909) 640-8963,,,16397 WINDCREST DR,FONTANA,CA,92337-0840,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374262,,CARRIER,ACTIVE,None,PIRUZA KEMERDZHYAN,PKP TRUCKING,,14741 HARTLAND ST,VAN NUYS,CA,91405-3851,(323) 819-0223,,,14741 HARTLAND ST,VAN NUYS,CA,91405-3851,11,12,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374267,,CARRIER,ACTIVE,None,ZAME TRANSPORT,,,12510 WOODSIDE WAY,CHINO,CA,91710-6231,(909) 437-1456,,,4860 ELTON ST,BALDWIN PARK,CA,91706-1906,1,2,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374268,,CARRIER,NOT AUTHORIZED,None,JM FELIX TRANSPORT,,,7737 BLANCHARD AVE,FONTANA,CA,92336,(909) 743-9540,,,7737 BLANCHARD AVE,FONTANA,CA,92336-2631,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","Motor Vehicles, "
3374273,,CARRIER,ACTIVE,None,51 TRANSPORTATION INC,,,16839 MORNING DEW LN,FONTANA,CA,92336-1699,(626) 485-9135,,,16839 MORNING DEW LN,FONTANA,CA,92336-1699,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374274,,CARRIER,NOT AUTHORIZED,None,MARIO ANTONIO RAZO MOSQUEDA,RAZO TRUCKING,,9765 MARCONI DR STE 107,SAN DIEGO,CA,92154,(619) 646-3795,,,9765 MARCONI DR STE 105,SAN DIEGO,CA,92154-7242,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, "
3374280,,CARRIER,ACTIVE,None,FELIX BUSTAMANTE,,,23080 PAHUTE RD,APPLE VALLEY,CA,92308-7417,(951) 238-0308,,,23080 PAHUTE RD,APPLE VALLEY,CA,92308-7417,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374286,,CARRIER,NOT AUTHORIZED,None,XTRM 1 TRANSPORT LLC,,,5451 ACACIA AVE,GARDEN GROVE,CA,92845,(714) 595-7714,,,5451 ACACIA AVE,GARDEN GROVE,CA,92845-2305,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, "
3374291,,CARRIER,NOT AUTHORIZED,None,FELIX OCTAVIO LOPEZ,,,13628 LOS OLIVOS AVE,POWAY,CA,92064-5017,(619) 760-7695,,,3700 SANTA FE AVE STE 300,LONG BEACH,CA,90810-2171,1,1,2019-12-27,1 (2019),"Auth. For Hire, ","Interstate, ","General Freight, "
3374293,,CARRIER,ACTIVE,None,FERNANDO MARCO GARCIA GARCIA,BAY AREA EXPRESS TRUCKING CO,,19807 SAN MIGUEL AVE APT 3,CASTRO VALLEY,CA,94546-4254,(510) 302-7828,,,19807 SAN MIGUEL AVE APT 3,CASTRO VALLEY,CA,94546-4254,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374294,,CARRIER,ACTIVE,None,JE TRUCKING,,,12301 STUDEBAKER RD APT 159,NORWALK,CA,90650-2281,(323) 919-1109,,,12301 STUDEBAKER RD APT 159,NORWALK,CA,90650-2281,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374296,,CARRIER,NOT AUTHORIZED,None,YEMANE HURUY GHEBREHIWOT,PEACE TRUCKING,,265 MACARTHUR BLVD APT 5,OAKLAND,CA,94610,(510) 472-5705,,,265 MACARTHUR BLVD APT 5,OAKLAND,CA,94610-3136,1,2,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, "
3374298,,CARRIER,NOT AUTHORIZED,None,SWC LOGISTICS INC,,,357 GREENBERRY DR,LA PUENTE,CA,91744,(626) 848-3458,,,357 GREENBERRY DR,LA PUENTE,CA,91744-3743,1,1,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, Intermodal Cont., "
3374310,,CARRIER,ACTIVE,None,JOSE GABRIEL LOPEZ TRUCKING,,,130 S STINSON ST APT 112,ANAHEIM,CA,92801-6339,(714) 767-1319,,,130 S STINSON ST APT 112,ANAHEIM,CA,92801-6339,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374315,,CARRIER,ACTIVE,None,ALMU TRUCKING LLC,,,425 E CASSIDY ST,CARSON,CA,90746-1129,(310) 650-4387,,,425 E CASSIDY ST,CARSON,CA,90746-1129,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Commodities Dry Bulk, Paper Products, OTHER, "
3374316,,CARRIER,ACTIVE,None,EXCLUSIVE XPRESS LLC,,,4554 W 154TH ST,LAWNDALE,CA,90260-1927,(310) 930-3089,,,4554 W 154TH ST,LAWNDALE,CA,90260-1927,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374319,,CARRIER,ACTIVE,None,MEJIA TRUCKING GROUP LLC,,,411 LYONCROSS WAY,SAN JOSE,CA,95123-3421,(408) 799-0626,,,411 LYONCROSS WAY,SAN JOSE,CA,95123-3421,1,2,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3374321,,CARRIER,NOT AUTHORIZED,None,MOYA TRUCKING LLC,,,15526 S VERMONT AVE,GARDENA,CA,90247,(310) 432-3011,,,15526 S VERMONT AVE,GARDENA,CA,90247-4118,1,2,2019-12-26,,"Auth. For Hire, ","Interstate, ","General Freight, Intermodal Cont., "
3374327,,CARRIER,ACTIVE,None,AL RENTERIA TRUCKING,,,11463 11TH AVE,HESPERIA,CA,92345-2003,(714) 737-3341,,,11463 11TH AVE,HESPERIA,CA,92345-2003,1,1,2019-12-26,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
