USDOT,MC_docket#,entity_type,operating_status,out_of_service,legal_name,dba_name,contact_name,physical_address,physical_city,physical_state,physical_zip,business_phone,mobile_number,email_address,mailing_address,mailing_city,mailing_state,mailing_zip,power units,drivers,mcs 150,Mileage (Year),operation_classification,carrier_operation,cargo_carried
3363726,,CARRIER,NOT AUTHORIZED,None,ASKOL INTERNATIONAL LLC,,,10607 PILKINGTON DR,RICHMOND,TX,77407,(832) 847-3769,,,10607 PILKINGTON DR,RICHMOND,TX,77407,1,1,2019-12-07,300 (2018),"Auth. For Hire, ","Interstate, ","General Freight, "
3363889,,CARRIER,NOT AUTHORIZED,None,CANNONBALL TRUCKING LLC,,,2008 1435,BOGATA,TX,75417,(903) 249-2805,,,"PO BOX 337
BOGATA, TX   75417-0337",,,,2,2,2019-12-05,1 (2018),"Auth. For Hire, ","Interstate, ","General Freight, Agricultural/Farm Supplies, "
3364352,,CARRIER,NOT AUTHORIZED,None,ALL DUNN DELIVERY & STORAGE LLC,,,5185 GOLD BASIN RD,FORT WORTH,TX,76179,(800) 403-9304,,,5185 GOLD BASIN RD,FORT WORTH,TX,76179-2397,2,8,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, "
3364378,,CARRIER,ACTIVE,None,DAVIDSON TRAILERS LLC,,,515 4311,NAPLES,TX,75568-6324,(903) 897-0018,,,515 4311,NAPLES,TX,75568-6324,1,2,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
3364396,,CARRIER,NOT AUTHORIZED,None,ROCKIN J EXPRESS LLC,,,260 SHORELINE DR,AZLE,TX,76020,(817) 925-3101,,,260 SHORELINE DR,AZLE,TX,76020-4036,4,4,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, "
3364420,,CARRIER,ACTIVE,None,YOELVIS TRUCKING LLC,,,12550 VERSAILLES DR,HOUSTON,TX,77015-3354,(346) 350-7401,,,12550 VERSAILLES DR,HOUSTON,TX,77015-3354,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Motor Vehicles, "
3364425,,CARRIER,NOT AUTHORIZED,None,NONE STOP TRANSPORT LLC,,,12732 FOXPAW TRL,FORT WORTH,TX,76244,(941) 584-9868,,,12732 FOXPAW TRL,FORT WORTH,TX,76244-4392,1,1,2019-12-05,1 (2019),"Auth. For Hire, ","Interstate, ","General Freight, Motor Vehicles, Building Materials, Machinery, Large Objects, Oilfield Equipment, "
3364429,,CARRIER,NOT AUTHORIZED,None,EVERY KNEE WILL BOW JESUS LLC,,,16865 429,TERRELL,TX,75161,(469) 508-2693,,,16865 429,TERRELL,TX,75161-7148,1,1,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, "
3364458,,CARRIER,ACTIVE,None,JUAN CARLOS MONTEALEGRE RAMIREZ,KRISMOVA DM TRUCKING,,8638 DOSKOCIL DR,HOUSTON,TX,77044-1154,(832) 795-3110,,,8638 DOSKOCIL DR,HOUSTON,TX,77044-1154,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
3364468,,CARRIER,ACTIVE,None,ENRIQUE SOTO JR,ENRIQUE SOTO JR TRUCKING,,"1840 CALLE OAXACA
 EAGLE PASS",,TX,78852-5663,(830) 776-0190,,,"1840 CALLE OAXACA
 EAGLE PASS",,TX,78852-5663,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Grain, Feed, Hay, OTHER, "
3364490,,CARRIER,NOT AUTHORIZED,None,CHILI CARGO LLC,,,12618 TICONDEROGA RD,HOUSTON,TX,77044,(405) 792-6946,,,"PO BOX 96413
HOUSTON, TX   77213-6413",,,,1,1,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, Refrigerated Food, Beverages, Agricultural/Farm Supplies, "
3364537,,CARRIER,NOT AUTHORIZED,None,GOODLIFE TRANSPORTATION LLC,,,2403 SCOTLAND DR,DALLAS,TX,75216,(469) 971-5580,,,2403 SCOTLAND DR,DALLAS,TX,75216-6541,1,1,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, Commodities Dry Bulk, Refrigerated Food, "
3364542,,CARRIER,ACTIVE,None,ANDRES PEREZ,AP TRUCKING,,908 E DOROTHY CIR,PHARR,TX,78577-2624,(574) 549-4191,,,908 E DOROTHY CIR,PHARR,TX,78577-2624,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
3364560,,CARRIER,ACTIVE,None,CANDY TRUCKING LLC,,,13906 STARDUST LN,DALLAS,TX,75234-3537,(214) 783-3312,,,13906 STARDUST LN,DALLAS,TX,75234-3537,2,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Construction, OTHER, "
3364564,,CARRIER,ACTIVE,None,AUSTIN LEISURE SIGHTSEEING HOP ON HOP OFF LLC,,,301 BRAZOS ST UNIT 1422,AUSTIN,TX,78701-4632,(415) 254-6799,,,301 BRAZOS ST UNIT 1422,AUSTIN,TX,78701-4632,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Passengers, "
3364583,,CARRIER,NOT AUTHORIZED,None,HUSAMS TOWING LLC,,,2332 SUMMER OAKS CT,ARLINGTON,TX,76011,(682) 222-4565,,,2332 SUMMER OAKS CT,ARLINGTON,TX,76011-2404,1,1,2019-12-09,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Drive/Tow away, "
3364637,,CARRIER,NOT AUTHORIZED,None,TMG CARRIERS LLC,,,9005 MINES RD APT 2,LAREDO,TX,78045,(956) 725-1508,,,9005 MINES RD APT 2,LAREDO,TX,78045-8833,1,4,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, "
3364658,,CARRIER,NOT AUTHORIZED,None,MICHAEL SMITH,M & L TRANSPORTATION,,875 UNION STATION PKWY APT 15401,LEWISVILLE,TX,75057,(244) 215-7227,,,875 UNION STATION PKWY APT 15401,LEWISVILLE,TX,75057-5274,1,1,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, "
3364669,,CARRIER,ACTIVE,None,ROJAS EXPRESS TRUCKING,,,10131 WOODICO CT,HOUSTON,TX,77038-2435,(713) 398-5258,,,10131 WOODICO CT,HOUSTON,TX,77038-2435,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3364682,,CARRIER,NOT AUTHORIZED,None,E R TRANSPORT SERVICES LLC,,,408 2ND ST,WILLIS,TX,77378,(936) 444-5733,,,408 2ND ST,WILLIS,TX,77378-8833,1,1,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, "
3364686,,CARRIER,ACTIVE,None,GABRIEL GARAY,LIGHTNING TRANSPORT & WINCH TRUCKING,,3100 S 1193,MIDLAND,TX,79706-3903,(799) 344-9111,,,3100 S 1193,MIDLAND,TX,79706-3903,3,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Oilfield Equipment, OTHER, "
3364703,,CARRIER,NOT AUTHORIZED,None,DRAMA TRANSPORATION LLC,,,9375 VISCOUNT BLVD APT 329,EL PASO,TX,79925,(915) 249-0886,,,9375 VISCOUNT BLVD APT 329,EL PASO,TX,79925-8060,1,1,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, Building Materials, Beverages, Paper Products, "
3364718,,CARRIER,NOT AUTHORIZED,None,GONZALEZ TRUCK LINES LLC,,,14422 INVESTMENT AVE STE A,LAREDO,TX,78045,(956) 533-7233,,,"PO BOX 5537
BROWNSVILLE, TX   78523-5537",,,,1,1,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, "
3364733,,CARRIER,NOT AUTHORIZED,None,JORDAN 3RD EYE LLC,,,"1000 PLANTATION DR 1000 PLANTATION DR
DESOTO, TX   75115",,,,(214) 985-4068,,,"1000 PLANTATION DR 1000 PLANTATION DR
DESOTO, TX   75115-5282",,,,4,4,2019-12-03,,"Auth. For Hire, ","Interstate, ","General Freight, Household Goods, US Mail, "
3364759,,CARRIER,ACTIVE,None,DUMPSTERS LINK LLC,DUMPSTERS LINK,,3736 482,NEW BRAUNFELS,TX,78132-5057,(830) 387-5101,,,3736 482,NEW BRAUNFELS,TX,78132-5057,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3364781,,CARRIER,ACTIVE,None,JOSE ANGEL FRANCO IBARRA,TFI CARRIERS,,2352 N VETERANS BLVD APT 1,EAGLE PASS,TX,78852-6654,(830) 765-7473,,,2352 N VETERANS BLVD APT 1,EAGLE PASS,TX,78852-6654,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3364789,,CARRIER,ACTIVE,None,ADRIAN GARCIA CAMPOS,,,6107 CARPENTERS COVE LN,HOUSTON,TX,77049-1358,(832) 938-7040,,,6107 CARPENTERS COVE LN,HOUSTON,TX,77049-1358,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3364794,,CARRIER,ACTIVE,None,OSCAR RODRIGUEZ DOMINGUEZ DBA ORD TRUCKING,ORD TRUCKING,,6037 FRY RD STE 126,KATY,TX,77449-1804,(941) 822-2471,,,6037 FRY RD STE 126,KATY,TX,77449-1804,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3364803,,CARRIER,ACTIVE,None,BEL-TRAN SPECIALIZED HAULING INC,,,11109 ARMSTRONG LN,PEARLAND,TX,77584-7236,(832) 493-2351,,,11109 ARMSTRONG LN,PEARLAND,TX,77584-7236,1,4,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Metal: sheets, coils, rolls, Machinery, Large Objects, Oilfield Equipment, Agricultural/Farm Supplies, Construction, "
3364810,,CARRIER,NOT AUTHORIZED,None,RITA CARDOZA MONTES,RC TRUCKING,,13602 ALAMEDA AVE APT 161,CLINT,TX,79836,(623) 388-1155,,,13602 ALAMEDA AVE APT 161,CLINT,TX,79836-6137,1,1,2019-12-03,,"Auth. For Hire, ","Interstate, ","Building Materials, "
3364831,,CARRIER,ACTIVE,None,VIRGINELLA PARKER,,,311 N VISTA DR APT 1812,HOUSTON,TX,77073-5394,(832) 602-5434,,,311 N VISTA DR APT 1812,HOUSTON,TX,77073-5394,2,2,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3364836,,CARRIER,ACTIVE,None,FELIX OMAR CAMPA,MTH TRANSPORTATION,,2800 PEARL AVE,FORT WORTH,TX,76106-6939,(682) 564-6845,,,2800 PEARL AVE,FORT WORTH,TX,76106-6939,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3364881,,CARRIER,NOT AUTHORIZED,None,CLAUDIA BRUCKMANN,M B TRANSPORT,,2727 SYNOTT RD APT 605,HOUSTON,TX,77082,(346) 270-5030,,,2727 SYNOTT RD APT 605,HOUSTON,TX,77082-3543,0,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Motor Vehicles, "
3364891,,CARRIER,ACTIVE,None,DOUBLE O TRANSPORT LLC,,,240 HINGE,"CHASE
 CIBOLO",TX,78108-3354,(210) 862-9786,,,240 HINGE,"CHASE
 CIBOLO",TX,78108-3354,1,1,2019-12-03,"10,000 (2019)","Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3364899,,CARRIER,ACTIVE,None,D&D TRUCKING COMPANY,,,1331 JAMES AVE,PORT ARTHUR,TX,77642-1676,(409) 300-9149,,,1331 JAMES AVE,PORT ARTHUR,TX,77642-1676,1,1,2019-12-03,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3364990,,CARRIER,NOT AUTHORIZED,None,VAP TRANSPORTS LLC,,,2009 ORCHID ST,EDINBURG,TX,78542,(956) 626-1954,,,2009 ORCHID ST,EDINBURG,TX,78542-6444,1,2,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Fresh Produce, Refrigerated Food, Beverages, "
3364994,,CARRIER,NOT AUTHORIZED,None,SANTINO SPEEDY DELIVERY LLC,,,19627 RIVER POINTE LN,KATY,TX,77449,(302) 470-1024,,,19627 RIVER POINTE LN,KATY,TX,77449-4736,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, "
3364999,,CARRIER,NOT AUTHORIZED,None,TEXPRO EXPRESS INC,,,11142 PIGEON BLUFF DR,HOUSTON,TX,77065,(346) 400-9961,,,11142 PIGEON BLUFF DR,HOUSTON,TX,77065-1851,3,6,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, "
3365018,,CARRIER,ACTIVE,None,PAUL LAWRENCE ROBERSON,,,1428 161N,HUGHES SPRINGS,TX,75656,(903) 946-3211,,,"PO BOX 1174
HUGHES SPGS, TX   75656-1174",,,,1,1,2019-12-05,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","Building Materials, "
3365030,,CARRIER,NOT AUTHORIZED,None,SHOTGUN XPRESS LLC,,,1806 W 19TH ST,MISSION,TX,78572,(956) 400-3464,,,1806 W 19TH ST,MISSION,TX,78572-0729,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Building Materials, Beverages, Paper Products, "
3365034,,CARRIER,ACTIVE,None,KELLY M&G TRUCKING LLC,,,921 FIR ST,PLAINVIEW,TX,79072-4844,(806) 685-0637,,,1308 VERNON ST,PLAINVIEW,TX,79072-4844,1,1,2019-12-07,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Grain, Feed, Hay, "
3365049,,CARRIER,NOT AUTHORIZED,None,EMPIRE AUTOMOTIVE GROUP LLC,,,7813 RANCHO DE LA OSA TRL,MCKINNEY,TX,75070,(903) 919-0241,,,7813 RANCHO DE LA OSA TRL,MCKINNEY,TX,75070-6041,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, "
3365065,,CARRIER,NOT AUTHORIZED,None,NO PRESSURE LOGISTICS LIMITED LIABILITY COMPANY,,,8215 OAT MEADOW TRL,HOUSTON,TX,77049,(405) 792-6946,,,8215 OAT MEADOW TRL,HOUSTON,TX,77049-1375,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Motor Vehicles, "
3365089,,CARRIER,ACTIVE,None,PETER BARTSCH MARTENS LLC,,,188 401 I,SEMINOLE,TX,79360-6019,(432) 758-2403,,,"PO BOX 190 188 COUNTY ROAD 401 I
SEMINOLE, TX   79360-0190",,,,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3365127,,CARRIER,NOT AUTHORIZED,None,DMS TRANSPORT LLC,,,1808 GALVESTON ST,LAREDO,TX,78043,(956) 949-0948,,,1808 GALVESTON ST,LAREDO,TX,78043-2905,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Commodities Dry Bulk, Beverages, Paper Products, "
3365136,,CARRIER,NOT AUTHORIZED,None,MIDNIGHT EXPRESS LOGISTICS LLC,,,4068 1123,GODLEY,TX,76044,(817) 357-2870,,,4068 1123,GODLEY,TX,76044-4344,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Logs, Poles, Beams, Lumber, Building Materials, Machinery, Large Objects, Construction, "
3365151,,CARRIER,ACTIVE,None,AVS TRUCKING CORP,,,14735 PLACID PT,HUMBLE,TX,77396-3485,(832) 741-1794,,,14735 PLACID PT,HUMBLE,TX,77396-3485,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Commodities Dry Bulk, "
3365161,,CARRIER,NOT AUTHORIZED,None,DOLORES F CASTILLO,CASTLE EXPRESS,,3221 RODDY DR,FORT WORTH,TX,76123,(817) 298-0515,,,3221 RODDY DR,FORT WORTH,TX,76123-2060,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, "
3365205,,CARRIER,NOT AUTHORIZED,None,SCHEREIBER TRANSPORTATION LLC,,,1800 TEASLEY LN APT 109,DENTON,TX,76205,(940) 305-9656,,,1800 TEASLEY LN APT 109,DENTON,TX,76205-5349,1,1,2019-12-06,,"Auth. For Hire, ","Interstate, ","General Freight, Metal: sheets, coils, rolls, Logs, Poles, Beams, Lumber, Building Materials, Paper Products, Utilities, Construction, OTHER, "
3365214,,CARRIER,ACTIVE,None,CJ TRANSPORTATION 52 LLC,,,5601 517 RD APT 409,DICKINSON,TX,77539-7173,(832) 960-8133,,,5601 517 RD APT 409,DICKINSON,TX,77539-7173,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3365220,,CARRIER,NOT AUTHORIZED,None,ERIC BROWN,BACKSTREET TRANSPORTATION,,15710 BANNOWSKY LN,HOUSTON,TX,77049,(405) 792-6946,,,15710 BANNOWSKY LN,HOUSTON,TX,77049-1163,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, "
3365239,,CARRIER,ACTIVE,None,DIAMOND I TRUCKING LLC,,,415 W WALL ST STE 1507,MIDLAND,TX,79701-4455,(432) 631-9179,,,"PO BOX 10873
MIDLAND, TX   79702-7873",,,,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Liquids/Gases, "
3365247,,CARRIER,NOT AUTHORIZED,None,DEEPWATER HEAVY HAUL LLC,,,1310 W SHEPHERD ST,DENISON,TX,75020,(860) 840-9438,,,1310 W SHEPHERD ST,DENISON,TX,75020-5213,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Metal: sheets, coils, rolls, Garbage/Refuse, "
3365248,,CARRIER,ACTIVE,None,RDM TRANSPORT LLC,,,930 THOMPSON RD,WEATHERFORD,TX,76087-8161,(817) 597-6816,,,930 THOMPSON RD,WEATHERFORD,TX,76087-8161,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
3365251,,CARRIER,ACTIVE,None,FERNANDO ERNESTO SALGADO,,,5313 DOW RD,HOUSTON,TX,77040-6101,(832) 760-6984,,,5313 DOW RD,HOUSTON,TX,77040-6101,3,3,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","AUTOMOBILES, "
3365265,,CARRIER,NOT AUTHORIZED,None,JOSE DE JESUS SANCHEZ CALVILLO,TRANSPORTES CALVILLO,,"ROBLE 407
REYNOSA , TA   88799",,,,(899) 149-6903,,,501 N BRIDGE ST STE 566,HIDALGO,TX,78557-2530,2,2,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, "
3365273,,CARRIER,ACTIVE,None,RHINO EXPORT LLC,,,702 CLEO ST,FRESNO,TX,77545-7735,(832) 980-1616,,,"PO BOX 726
FRESNO, TX   77545-0726",,,,1,2,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
3365282,,CARRIER,NOT AUTHORIZED,None,BD & SR BOOKER FAMILY ENTERPRISE LLC,ABUNDANT TRANSPORTATION SERVICES,,1609 CHACON CANYON DR,DESOTO,TX,75115,(469) 245-4372,,,"PO BOX 1642
CEDAR HILL, TX   75104-1642",,,,1,1,2019-12-05,12 (2019),"Auth. For Hire, ","Interstate, ","General Freight, "
3365324,,CARRIER,ACTIVE,None,TRIANGLE RT TRANSPORT LLC,,,1927 1005,BATESVILLE,TX,78829,(956) 319-0081,,,2007 DURANGO AVE,LAREDO,TX,78046-8771,1,1,2019-12-04,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3365327,,CARRIER,ACTIVE,None,ANNIE ELEBY,,,13725 CAMBURY DR APT 1204,HOUSTON,TX,77014-2642,(832) 602-5434,,,13725 CAMBURY DR APT 1204,HOUSTON,TX,77014-2642,3,2,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3365334,,CARRIER,NOT AUTHORIZED,None,GS EXPRESS LLC,,,4228 RESERVE WAY APT 3133,IRVING,TX,75038,(214) 288-2217,,,4228 RESERVE WAY APT 3133,IRVING,TX,75038-9083,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, "
3365344,,CARRIER,NOT AUTHORIZED,None,PHILLIPS INTERESTS LLC,TEXAS VETERANS TRANSPORT,,7747 HIGH VILLAGE DR,HOUSTON,TX,77095,(832) 797-8828,,,7747 HIGH VILLAGE DR,HOUSTON,TX,77095-1686,1,1,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, "
3365370,,CARRIER,ACTIVE,None,ERIC ALFREDO OLIVO,,,19902 CHERRY OAKS LN,HUMBLE,TX,77346-2031,(832) 256-9720,,,19902 CHERRY OAKS LN,HUMBLE,TX,77346-2031,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
3365386,,CARRIER,ACTIVE,None,CHARLES PARKER,CLP TRANSPORTATION,,1217 AIRWAY AVE,TYLER,TX,75704-7815,(903) 360-6181,,,1217 AIRWAY AVE,TYLER,TX,75704-7815,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3365390,,CARRIER,ACTIVE,None,2 - H TRUCKING LLC,,,10807 CORAL GARDEN LN,HOUSTON,TX,77075-2827,(832) 872-5605,,,10807 CORAL GARDEN LN,HOUSTON,TX,77075-2827,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3365400,,CARRIER,ACTIVE,None,OMAR JIMENEZ,ALLEGIANCE MATERIALS,,14003 LANTERN LN,HOUSTON,TX,77015-2431,(713) 292-7143,,,14003 LANTERN LN,HOUSTON,TX,77015-2431,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","Building Materials, Construction, OTHER, "
3365432,,CARRIER,ACTIVE,None,SUNRISE HAULING LLC,,,330 VALEK RD,ENNIS,TX,75119-0363,(847) 775-3587,,,330 VALEK RD,ENNIS,TX,75119-0363,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
3365465,,CARRIER,NOT AUTHORIZED,None,ROYAL PRO-SERVICES CORP,,,20000 SAUMS RD APT 5101,KATY,TX,77449,(305) 900-9218,,,20000 SAUMS RD APT 5101,KATY,TX,77449-3377,1,2,2019-12-04,,"Auth. For Hire, ","Interstate, ","General Freight, Metal: sheets, coils, rolls, Logs, Poles, Beams, Lumber, Building Materials, Commodities Dry Bulk, Agricultural/Farm Supplies, Construction, "
3365471,,CARRIER,ACTIVE,None,ROSA DALIA NARVAEZ ORDONEZ,DALIA TRANSPORTATION,,8614 GREINER DR,HOUSTON,TX,77080-3504,(832) 385-9893,,,8614 GREINER DR,HOUSTON,TX,77080-3504,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3365479,,CARRIER,ACTIVE,None,JOSE M DEL SOL CANDEDO,M & Y,,610 E WINKLER ST APT E,KERMIT,TX,79745-4418,(432) 557-7432,,,610 E WINKLER ST APT E,KERMIT,TX,79745-4418,1,1,2019-12-04,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","OTHER, "
